state_component, stat, schedule, label_scheme, N, result
requested.phone, neglogp, 1, a, 732, 0.0332535
requested.phone, mrr, 1, a, 732, 0.9911202
requested.phone, update.acc, 1, a, 732, 0.9490196
requested.phone, update.prec, 1, a, 732, 1.0000000
requested.phone, roc.v1_eer, 1, a, 732, 0.0163934
requested.phone, roc.v1_ca05, 1, a, 732, 0.9822404
requested.phone, roc.v1_ca10, 1, a, 732, 0.9822404
requested.phone, roc.v1_ca20, 1, a, 732, 0.9822404
requested.phone, roc.v2_ca05, 1, a, 732, 0.9666203
requested.phone, roc.v2_ca10, 1, a, 732, 0.9707928
requested.phone, roc.v2_ca20, 1, a, 732, 0.9791377
requested.pricerange, acc, 1, a, 732, 0.9972678
requested.pricerange, l2, 1, a, 732, 0.0062717
requested.pricerange, l2.binary, 1, a, 732, 0.0062717
requested.pricerange, avgp, 1, a, 732, 0.9932548
requested.pricerange, neglogp, 1, a, 732, 0.0128333
requested.pricerange, mrr, 1, a, 732, 0.9986339
requested.pricerange, update.acc, 1, a, 732, 0.9827586
requested.pricerange, update.prec, 1, a, 732, 1.0000000
requested.pricerange, roc.v1_eer, 1, a, 732, 0.0054645
requested.pricerange, roc.v1_ca05, 1, a, 732, 0.9972678
requested.pricerange, roc.v1_ca10, 1, a, 732, 0.9972678
requested.pricerange, roc.v1_ca20, 1, a, 732, 0.9972678
requested.pricerange, roc.v2_ca05, 1, a, 732, 0.9589041
requested.pricerange, roc.v2_ca10, 1, a, 732, 0.9589041
requested.pricerange, roc.v2_ca20, 1, a, 732, 0.9589041
requested.postcode, acc, 1, a, 732, 0.9972678
requested.postcode, l2, 1, a, 732, 0.0062502
requested.postcode, l2.binary, 1, a, 732, 0.0062502
requested.postcode, avgp, 1, a, 732, 0.9929294
requested.postcode, neglogp, 1, a, 732, 0.0297188
requested.postcode, mrr, 1, a, 732, 0.9986339
requested.postcode, update.acc, 1, a, 732, 0.9924242
requested.postcode, update.prec, 1, a, 732, 0.9924242
requested.postcode, roc.v1_eer, 1, a, 732, 0.0068306
requested.postcode, roc.v1_ca05, 1, a, 732, 0.9972678
requested.postcode, roc.v1_ca10, 1, a, 732, 0.9972678
requested.postcode, roc.v1_ca20, 1, a, 732, 0.9972678
requested.postcode, roc.v2_ca05, 1, a, 732, 0.0013699
requested.postcode, roc.v2_ca10, 1, a, 732, 0.0013699
requested.postcode, roc.v2_ca20, 1, a, 732, 0.0013699
requested.signature, acc, 1, a, 732, 0.9986339
requested.signature, l2, 1, a, 732, 0.0027400
requested.signature, l2.binary, 1, a, 732, 0.0027400
requested.signature, avgp, 1, a, 732, 0.9983857
requested.signature, neglogp, 1, a, 732, 0.0128326
requested.signature, mrr, 1, a, 732, 0.9993169
requested.signature, update.acc, 1, a, 732, 0.9900000
requested.signature, update.prec, 1, a, 732, 0.9900000
requested.signature, roc.v1_eer, 1, a, 732, 0.0027322
requested.signature, roc.v1_ca05, 1, a, 732, 0.9986339
requested.signature, roc.v1_ca10, 1, a, 732, 0.9986339
requested.signature, roc.v1_ca20, 1, a, 732, 0.9986339
requested.signature, roc.v2_ca05, 1, a, 732, 0.0013680
requested.signature, roc.v2_ca10, 1, a, 732, 0.0013680
requested.signature, roc.v2_ca20, 1, a, 732, 0.0013680
requested.name, acc, 1, a, 732, 1.0000000
requested.name, l2, 1, a, 732, 0.0000000
requested.name, l2.binary, 1, a, 732, 0.0000000
requested.name, avgp, 1, a, 732, 1.0000000
requested.name, neglogp, 1, a, 732, 0.0000000
requested.name, mrr, 1, a, 732, 1.0000000
requested.name, update.acc, 1, a, 732, 1.0000000
requested.name, update.prec, 1, a, 732, 1.0000000
requested.name, roc.v1_eer, 1, a, 732, 0.0000000
requested.name, roc.v1_ca05, 1, a, 732, 1.0000000
requested.name, roc.v1_ca10, 1, a, 732, 1.0000000
requested.name, roc.v1_ca20, 1, a, 732, 1.0000000
requested.name, roc.v2_ca05, 1, a, 732, -
requested.name, roc.v2_ca10, 1, a, 732, -
requested.name, roc.v2_ca20, 1, a, 732, -
requested.all, acc, 1, a, 5856, 0.9940232
